The Wolf of Wall Street,2013,3h 00m,"Biography,Crime","Comedy, Drama",Leonardo DiCaprio,8.2,R
Django Unchained,2012,2h 45m,"Drama,Western","Adventure, Crime, Revenge",Jamie Foxx,8.4,R
The Revenant,2015,2h 36m,"Action,Adventure","Drama, Thriller, Western",Leonardo DiCaprio,8,R
Deadpool,2016,1h 48m,"Action,Comedy","Adventure, Sci-Fi",Ryan Reynolds,8,R
The Hateful Eight,2015,3h 08m,"Crime,Drama","Mystery, Thriller, Western",Samuel L. Jackson,7.8,R
Black Swan,2010,1h 48m,"Drama,Thriller","Horror, Psychological",Natalie Portman,8,R
Silver Linings Playbook,2012,2h 02m,"Comedy,Drama",Romance,Bradley Cooper,7.7,R
American Hustle,2013,2h 18m,"Crime,Drama","Comedy, Romance",Christian Bale,7.2,R
Inception,2010,2h 28m,"Action,Adventure","Sci-Fi, Thriller",Leonardo DiCaprio,8.8,R
Interstellar,2014,2h 49m,"Adventure,Drama",Sci-Fi,Matthew McConaughey,8.6,R
Gone Girl,2014,2h 29m,"Drama,Mystery","Crime, Thriller",Ben Affleck,8.1,R
The Martian,2015,2h 24m,"Adventure,Drama",Sci-Fi,Matt Damon,8,R
The Shape of Water,2017,2h 03m,"Adventure,Drama","Fantasy, Romance, Thriller",Sally Hawkins,7.3,R
"Three Billboards Outside Ebbing, Missouri",2017,1h 55m,"Crime,Drama","Comedy, Mystery",Frances McDormand,8.2,R
Joker,2019,2h 02m,"Crime,Drama",Thriller,Joaquin Phoenix,8.4,R
Iron Man,2008,2h 6m,"Action,Adventure",Sci-Fi,"Robert Downey Jr., Gwyneth Paltrow",7.9,PG 13
The Incredible Hulk,2008,1h 52m,"Action,Adventure",Sci-Fi,"Edward Norton, Liv Tyler",6.7,PG 13
Iron Man 2,2010,2h 4m,"Action,Adventure",Sci-Fi,"Robert Downey Jr., Mickey Rourke",7,PG 13
Thor,2011,1h 55m,"Action,Adventure",Fantasy,"Chris Hemsworth, Natalie Portman",7,PG 13
Captain America: The First Avenger,2011,2h 4m,"Action,Adventure",Sci-Fi,"Chris Evans, Hayley Atwell",6.9,PG 13
Marvel's The Avengers,2012,2h 23m,"Action,Adventure",Sci-Fi,"Robert Downey Jr., Chris Evans",8,PG 13
Iron Man 3,2013,2h 10m,"Action,Adventure",Sci-Fi,"Robert Downey Jr., Gwyneth Paltrow",7.1,PG 13
Thor: The Dark World,2013,1h 52m,"Action,Adventure",Fantasy,"Chris Hemsworth, Natalie Portman",6.9,PG 13
Captain America: The Winter Soldier,2014,2h 16m,"Action,Adventure",Sci-Fi,"Chris Evans, Scarlett Johansson",7.7,PG 13
Guardians of the Galaxy,2014,2h 1m,"Action,Adventure","Comedy, Sci-Fi","Chris Pratt, Zoe Saldana",8,PG 13
Avengers: Age of Ultron,2015,2h 21m,"Action,Adventure",Sci-Fi,"Robert Downey Jr., Chris Hemsworth",7.3,PG 13
Ant-Man,2015,1h 57m,"Action,Adventure","Comedy, Sci-Fi","Paul Rudd, Michael Douglas",7.3,PG 13
Guardians of the Galaxy Vol. 2,2017,2h 16m,"Action,Adventure","Comedy, Sci-Fi","Chris Pratt, Zoe Saldana",7.6,PG 13
Thor: Ragnarok,2017,2h 10m,"Action,Adventure","Comedy, Fantasy, Sci-Fi","Chris Hemsworth, Tom Hiddleston",7.9,PG 13
Avengers: Infinity War,2018,2h 40m,"Action,Adventure","Fantasy, Sci-Fi","Robert Downey Jr., Chris Hemsworth",8.4,PG 13
Ant-Man and The Wasp,2018,1h 58m,"Action,Adventure","Comedy, Sci-Fi","Paul Rudd, Evangeline Lilly",7.1,PG 13
Captain Marvel,2019,2h 3m,"Action,Adventure",Sci-Fi,"Brie Larson, Samuel L. Jackson",6.9,PG 13
Avengers: Endgame,2019,3h 2m,"Action,Adventure","Fantasy, Sci-Fi","Robert Downey Jr., Chris Evans",8.4,PG 13
Spider-Man: Far From Home,2019,2h 9m,"Action,Adventure",Sci-Fi,"Tom Holland, Jake Gyllenhaal",7.5,PG 13
Black Widow,2021,2h 14m,"Action,Adventure",Sci-Fi,"Scarlett Johansson, Florence Pugh",6.8,PG 13
Shang-Chi and the Legend of the Ten Rings,2021,2h 12m,"Action,Adventure",Fantasy,"Simu Liu, Awkwafina",7.9,PG 13
Eternals,2021,2h 37m,"Action,Adventure",Fantasy,"Gemma Chan, Richard Madden",6.9,PG 13
